Date,Hour,MachineID,ProductID,LocationID,PlannedUnits,ActualUnits,DowntimeMinutes,DefectUnits
2025-01-01,9,M04,P05,L03,111,146,0,0
2025-01-01,9,M05,P03,L02,143,108,12,1
2025-01-01,9,M06,P03,L05,134,166,16,9
2025-01-01,9,M07,P02,L05,173,169,29,1
2025-01-01,9,M08,P01,L03,106,147,25,4
2025-01-01,9,M09,P05,L02,174,108,23,3
2025-01-01,9,M10,P05,L01,135,89,4,8
2025-01-01,10,M01,P01,L03,198,191,3,1
2025-01-01,10,M02,P05,L01,111,192,22,6
2025-01-01,10,M03,P03,L01,129,96,16,3
2025-01-01,10,M04,P05,L01,158,98,16,3
2025-01-01,10,M05,P05,L04,118,155,8,6
2025-01-01,10,M06,P04,L04,182,190,15,4
2025-01-01,10,M07,P03,L05,111,104,19,4
2025-01-01,10,M08,P05,L04,122,95,24,6
2025-01-01,10,M09,P05,L05,141,137,6,9
2025-01-01,10,M10,P03,L05,186,172,10,1
2025-01-01,11,M01,P01,L04,173,137,11,0
2025-01-01,11,M02,P05,L05,139,121,8,1
2025-01-01,11,M03,P02,L03,165,84,28,4
2025-01-01,11,M04,P05,L03,164,165,19,0
2025-01-01,11,M05,P05,L01,103,115,5,2
2025-01-01,11,M06,P04,L05,153,118,26,9
2025-01-01,11,M07,P03,L02,138,146,12,1
2025-01-01,11,M08,P02,L04,119,171,7,8
2025-01-01,11,M09,P03,L01,176,171,29,8
2025-01-01,11,M10,P01,L04,124,135,0,5
2025-01-01,12,M01,P02,L05,143,124,12,4
2025-01-01,12,M02,P03,L05,135,178,18,3
2025-01-01,12,M03,P02,L01,146,184,16,0
2025-01-01,12,M04,P03,L05,115,166,24,9
2025-01-01,12,M05,P04,L04,107,171,3,9
2025-01-01,12,M06,P04,L02,149,107,27,4
2025-01-01,12,M07,P04,L01,163,106,21,0
2025-01-01,12,M08,P01,L01,183,156,27,2
2025-01-01,12,M09,P02,L05,168,126,24,1
2025-01-01,12,M10,P02,L02,104,198,23,0
2025-01-01,13,M01,P02,L01,195,190,16,4
2025-01-01,13,M02,P01,L02,185,138,26,0
2025-01-01,13,M03,P01,L05,197,184,2,0
2025-01-01,13,M04,P04,L05,180,148,4,5
2025-01-01,13,M05,P05,L03,122,180,20,4
2025-01-01,13,M06,P02,L02,182,96,20,8
2025-01-01,13,M07,P03,L01,144,156,3,0
2025-01-01,13,M08,P02,L01,191,174,7,6
2025-01-01,13,M09,P02,L02,133,133,21,2
2025-01-01,13,M10,P02,L03,111,144,21,4
2025-01-01,14,M01,P01,L03,116,191,14,6
2025-01-01,14,M02,P05,L05,113,145,10,2
2025-01-01,14,M03,P02,L04,137,129,1,1
2025-01-01,14,M04,P03,L03,162,177,19,8
2025-01-01,14,M05,P04,L01,129,198,9,2
2025-01-01,14,M06,P05,L01,128,83,9,7
2025-01-01,14,M07,P02,L01,116,163,23,4
2025-01-01,14,M08,P05,L02,165,156,29,2
2025-01-01,14,M09,P03,L01,115,87,3,7
2025-01-01,14,M10,P01,L04,166,175,2,1
2025-01-01,15,M01,P02,L05,150,98,20,4
2025-01-01,15,M02,P04,L02,141,140,21,4
2025-01-01,15,M03,P05,L01,111,169,13,1
2025-01-01,15,M04,P02,L01,144,106,8,9
2025-01-01,15,M05,P01,L01,185,190,23,0
2025-01-01,15,M06,P04,L02,100,87,16,2
2025-01-01,15,M07,P04,L05,178,126,23,5
2025-01-01,15,M08,P04,L02,186,157,23,1
2025-01-01,15,M09,P02,L05,113,138,23,2
2025-01-01,15,M10,P03,L03,117,117,2,2
2025-01-01,16,M01,P05,L01,127,153,6,8
2025-01-01,16,M02,P02,L01,143,104,16,3
2025-01-01,16,M03,P04,L01,109,146,8,1
2025-01-01,16,M04,P02,L04,107,119,16,2
2025-01-01,16,M05,P01,L02,105,131,25,1
2025-01-01,16,M06,P03,L03,169,180,24,0
2025-01-01,16,M07,P05,L05,169,149,22,3
2025-01-01,16,M08,P01,L03,102,194,7,4
2025-01-01,16,M09,P02,L04,183,171,10,3
2025-01-01,16,M10,P03,L01,161,136,1,7
2025-01-01,17,M01,P03,L02,144,123,4,5
2025-01-01,17,M02,P04,L02,118,163,0,3
2025-01-01,17,M03,P04,L01,146,80,25,5
2025-01-01,17,M04,P03,L05,199,156,10,2
2025-01-01,17,M05,P02,L01,109,84,22,9
2025-01-01,17,M06,P02,L04,112,119,1,3
2025-01-01,17,M07,P05,L01,172,96,8,7
2025-01-01,17,M08,P01,L03,168,141,27,1
2025-01-01,17,M09,P03,L05,108,113,11,2
2025-01-01,17,M10,P01,L03,139,143,21,7
2025-01-01,18,M01,P01,L03,113,139,29,2
2025-01-01,18,M02,P05,L05,104,162,26,9
2025-01-01,18,M03,P01,L04,141,168,17,7
2025-01-01,18,M04,P05,L03,137,176,22,0
2025-01-01,18,M05,P01,L01,196,190,22,1
2025-01-01,18,M06,P03,L05,138,130,5,5
2025-01-01,18,M07,P03,L03,171,121,19,0
2025-01-01,18,M08,P03,L04,135,108,5,8
2025-01-01,18,M09,P05,L01,126,134,0,3
2025-01-01,18,M10,P02,L02,104,153,0,5
2025-01-01,19,M01,P04,L05,187,131,23,7
2025-01-01,19,M02,P05,L05,146,147,11,1
2025-01-01,19,M03,P03,L03,135,115,25,4
2025-01-01,19,M04,P03,L04,173,183,5,5
2025-01-01,19,M05,P03,L02,111,169,12,7
2025-01-01,19,M06,P01,L02,196,190,7,3
2025-01-01,19,M07,P05,L04,136,151,9,0
2025-01-01,19,M08,P02,L04,108,197,18,7
2025-01-01,19,M09,P03,L01,122,80,13,4
2025-01-01,19,M10,P02,L05,135,133,22,8
2025-01-01,20,M01,P03,L01,139,94,20,8
2025-01-01,20,M02,P01,L05,173,131,24,4
2025-01-01,20,M03,P01,L02,134,142,19,8
2025-01-01,20,M04,P03,L02,137,81,6,1
2025-01-01,20,M05,P02,L03,190,96,10,2
2025-01-01,20,M06,P04,L01,169,196,23,0
2025-01-01,20,M07,P05,L01,162,186,21,9
2025-01-01,20,M08,P02,L04,184,128,6,0
2025-01-01,20,M09,P01,L04,148,99,21,5
2025-01-01,20,M10,P05,L04,148,150,0,6
2025-01-01,21,M01,P03,L03,155,162,29,0
2025-01-01,21,M02,P05,L05,129,95,7,2
2025-01-01,21,M03,P01,L02,177,194,14,1
2025-01-01,21,M04,P04,L02,193,117,18,3
2025-01-01,21,M05,P05,L01,154,182,2,9
2025-01-01,21,M06,P03,L02,133,176,22,6
2025-01-01,21,M07,P02,L04,106,172,7,0
2025-01-01,21,M08,P03,L01,187,166,26,7
2025-01-01,21,M09,P05,L01,166,130,0,7
2025-01-01,21,M10,P03,L02,195,167,13,7
2025-01-01,22,M01,P04,L03,136,133,20,6
2025-01-01,22,M02,P02,L02,106,112,22,4
2025-01-01,22,M03,P05,L03,118,115,28,1
2025-01-01,22,M04,P01,L02,146,148,19,9
2025-01-01,22,M05,P03,L02,186,198,11,3
2025-01-01,22,M06,P05,L05,137,173,8,1
2025-01-01,22,M07,P04,L05,198,195,25,5
2025-01-01,22,M08,P01,L04,173,109,23,6
2025-01-01,22,M09,P02,L01,180,93,8,7
2025-01-01,22,M10,P05,L02,124,182,8,5
2025-01-01,23,M01,P04,L03,125,137,28,1
2025-01-01,23,M02,P03,L05,169,97,20,9
2025-01-01,23,M03,P01,L04,137,113,16,4
2025-01-01,23,M04,P02,L01,175,166,20,9
2025-01-01,23,M05,P03,L05,156,110,5,7
2025-01-01,23,M06,P04,L02,152,150,9,0
2025-01-01,23,M07,P05,L02,191,141,25,1
2025-01-01,23,M08,P03,L04,164,130,20,3
2025-01-01,23,M09,P02,L03,128,100,10,7
2025-01-01,23,M10,P04,L03,158,118,7,2
2025-01-01,24,M01,P05,L02,155,112,25,3
2025-01-01,24,M02,P03,L04,198,195,10,0
2025-01-01,24,M03,P05,L03,197,152,25,1
2025-01-01,24,M04,P01,L05,172,119,16,0
2025-01-01,24,M05,P05,L01,142,183,9,8
2025-01-01,24,M06,P03,L03,143,130,29,5
2025-01-01,24,M07,P04,L02,118,180,11,0
2025-01-01,24,M08,P01,L05,173,136,22,0
2025-01-01,24,M09,P03,L04,107,174,20,0
2025-01-01,24,M10,P01,L05,181,168,11,9
2025-01-02,1,M01,P05,L01,125,126,9,6
2025-01-02,1,M02,P02,L01,184,165,25,6
2025-01-02,1,M03,P01,L05,147,151,17,6
2025-01-02,1,M04,P02,L05,194,173,19,6
2025-01-02,1,M05,P02,L03,158,185,6,0
2025-01-02,1,M06,P04,L03,159,124,1,2
2025-01-02,1,M07,P03,L05,139,169,22,6
2025-01-02,1,M08,P01,L04,103,172,21,8
2025-01-02,1,M09,P02,L05,132,95,12,9
2025-01-02,1,M10,P02,L04,154,178,9,1
2025-01-02,2,M01,P05,L03,112,97,2,6
2025-01-02,2,M02,P05,L04,161,192,28,4
2025-01-02,2,M03,P01,L04,115,135,11,8
2025-01-02,2,M04,P01,L02,183,84,0,0
2025-01-02,2,M05,P05,L03,113,199,29,1
2025-01-02,2,M06,P02,L04,161,116,24,0
2025-01-02,2,M07,P01,L05,114,128,24,7
2025-01-02,2,M08,P04,L04,158,116,28,4
2025-01-02,2,M09,P04,L03,169,118,23,7
2025-01-02,2,M10,P05,L03,197,104,6,3
2025-01-02,3,M01,P03,L04,171,99,28,5
2025-01-02,3,M02,P03,L05,173,186,1,8
2025-01-02,3,M03,P01,L02,102,199,5,4
2025-01-02,3,M04,P01,L05,108,178,19,9
2025-01-02,3,M05,P05,L01,134,129,17,0
2025-01-02,3,M06,P03,L03,112,199,28,8
2025-01-02,3,M07,P04,L01,113,180,1,8
2025-01-02,3,M08,P03,L03,191,108,8,2
2025-01-02,3,M09,P02,L01,175,121,8,7
2025-01-02,3,M10,P05,L01,110,138,1,7
2025-01-02,4,M01,P03,L04,104,127,25,1
2025-01-02,4,M02,P04,L05,147,156,27,4
2025-01-02,4,M03,P01,L05,139,124,29,2
2025-01-02,4,M04,P03,L02,155,119,1,7
2025-01-02,4,M05,P05,L03,132,85,23,2
2025-01-02,4,M06,P01,L04,158,138,15,8
2025-01-02,4,M07,P03,L05,144,168,20,9
2025-01-02,4,M08,P03,L04,137,139,6,4
2025-01-02,4,M09,P05,L03,157,194,22,9
2025-01-02,4,M10,P03,L02,152,109,6,1
2025-01-02,5,M01,P02,L04,177,156,28,6
2025-01-02,5,M02,P05,L02,145,106,16,8
2025-01-02,5,M03,P02,L01,159,143,23,2
2025-01-02,5,M04,P02,L03,195,177,27,4
2025-01-02,5,M05,P04,L05,119,175,3,1
2025-01-02,5,M06,P03,L04,163,96,11,5
2025-01-02,5,M07,P02,L01,164,101,25,7
2025-01-02,5,M08,P02,L03,149,93,14,3
2025-01-02,5,M09,P03,L03,151,155,6,0
2025-01-02,5,M10,P03,L03,157,166,25,1
2025-01-02,6,M01,P05,L02,103,160,2,8
2025-01-02,6,M02,P05,L05,174,195,1,3
2025-01-02,6,M03,P03,L03,166,160,29,7
2025-01-02,6,M04,P05,L04,120,126,15,4
2025-01-02,6,M05,P04,L03,105,98,24,4
2025-01-02,6,M06,P03,L03,100,137,27,5
2025-01-02,6,M07,P05,L02,134,143,16,8
2025-01-02,6,M08,P02,L04,114,187,15,7
2025-01-02,6,M09,P01,L04,116,172,20,7
2025-01-02,6,M10,P02,L03,170,82,28,4
2025-01-02,7,M01,P02,L04,102,99,13,8
2025-01-02,7,M02,P04,L01,183,179,8,5
2025-01-02,7,M03,P04,L01,162,165,21,4
2025-01-02,7,M04,P02,L05,187,151,10,0
2025-01-02,7,M05,P02,L05,193,143,17,5
2025-01-02,7,M06,P05,L03,188,112,27,5
2025-01-02,7,M07,P03,L01,185,130,23,8
2025-01-02,7,M08,P04,L01,145,111,14,5
2025-01-02,7,M09,P04,L04,132,153,7,1
2025-01-02,7,M10,P01,L04,101,176,0,8
2025-01-02,8,M01,P01,L05,176,195,25,5
2025-01-02,8,M02,P02,L02,145,193,14,1
2025-01-02,8,M03,P04,L02,148,183,10,2
2025-01-02,8,M04,P01,L03,105,152,6,8
2025-01-02,8,M05,P04,L02,107,151,17,3
2025-01-02,8,M06,P03,L03,183,159,3,5
2025-01-02,8,M07,P02,L02,102,120,27,9
2025-01-02,8,M08,P02,L03,111,166,11,8
2025-01-02,8,M09,P03,L05,118,134,13,3
2025-01-02,8,M10,P05,L05,152,134,18,1
2025-01-02,9,M01,P03,L02,121,116,23,8
2025-01-02,9,M02,P03,L03,127,153,18,2
2025-01-02,9,M03,P05,L05,153,142,14,0
2025-01-02,9,M04,P01,L04,193,164,25,7
2025-01-02,9,M05,P05,L04,103,171,11,3
2025-01-02,9,M06,P02,L04,148,130,8,3
2025-01-02,9,M07,P05,L02,197,179,1,1
2025-01-02,9,M08,P02,L04,157,197,28,2
2025-01-02,9,M09,P02,L05,139,100,14,0
2025-01-02,9,M10,P02,L03,107,179,15,6
2025-01-02,10,M01,P04,L02,113,157,1,6
2025-01-02,10,M02,P05,L05,137,188,8,5
2025-01-02,10,M03,P05,L04,113,199,6,8
2025-01-02,10,M04,P02,L04,169,96,26,8
2025-01-02,10,M05,P04,L01,165,114,4,4
2025-01-02,10,M06,P04,L01,155,115,12,6
2025-01-02,10,M07,P02,L03,166,197,13,9
2025-01-02,10,M08,P02,L05,175,173,8,0
2025-01-02,10,M09,P04,L05,107,122,11,0
2025-01-02,10,M10,P04,L01,127,186,4,4
2025-01-02,11,M01,P05,L04,148,192,23,7
2025-01-02,11,M02,P04,L04,160,99,17,1
2025-01-02,11,M03,P05,L01,119,105,28,0
2025-01-02,11,M04,P05,L03,158,148,0,0
2025-01-02,11,M05,P04,L03,119,132,17,7
2025-01-02,11,M06,P03,L03,197,168,17,8
2025-01-02,11,M07,P02,L03,122,123,5,3
2025-01-02,11,M08,P04,L05,179,129,9,6
2025-01-02,11,M09,P05,L02,100,198,7,5
2025-01-02,11,M10,P02,L05,164,134,22,9
2025-01-02,12,M01,P02,L03,129,193,17,0
2025-01-02,12,M02,P01,L02,175,170,7,8
2025-01-02,12,M03,P01,L04,100,98,15,4
2025-01-02,12,M04,P01,L05,189,141,27,1
2025-01-02,12,M05,P01,L02,132,120,24,8
2025-01-02,12,M06,P05,L05,130,184,10,3
2025-01-02,12,M07,P05,L02,103,181,18,5
2025-01-02,12,M08,P02,L02,112,184,22,2
2025-01-02,12,M09,P03,L05,100,167,29,5
2025-01-02,12,M10,P05,L01,114,144,11,9
2025-01-02,13,M01,P03,L05,159,172,24,0
2025-01-02,13,M02,P01,L01,134,123,5,9
2025-01-02,13,M03,P03,L03,171,189,13,9
2025-01-02,13,M04,P01,L02,102,164,25,7
2025-01-02,13,M05,P04,L02,192,105,24,4
2025-01-02,13,M06,P05,L02,178,123,3,6
2025-01-02,13,M07,P04,L02,142,188,20,6
2025-01-02,13,M08,P05,L03,114,104,3,2
2025-01-02,13,M09,P05,L04,112,165,18,1
2025-01-02,13,M10,P04,L05,151,189,26,2
2025-01-02,14,M01,P04,L02,129,97,1,0
2025-01-02,14,M02,P04,L05,189,168,29,6
2025-01-02,14,M03,P02,L04,138,92,6,7
2025-01-02,14,M04,P02,L01,160,121,23,3
2025-01-02,14,M05,P04,L04,106,133,0,7
2025-01-02,14,M06,P02,L05,146,92,22,5
2025-01-02,14,M07,P04,L05,108,105,8,9
2025-01-02,14,M08,P01,L02,141,151,23,0
2025-01-02,14,M09,P03,L02,136,147,17,7
2025-01-02,14,M10,P04,L03,159,118,9,8
2025-01-02,15,M01,P03,L02,135,153,0,6
2025-01-02,15,M02,P05,L02,146,128,2,1
2025-01-02,15,M03,P05,L01,180,101,15,4
2025-01-02,15,M04,P04,L03,170,111,10,9
2025-01-02,15,M05,P05,L01,156,104,1,2
2025-01-02,15,M06,P02,L05,166,121,21,6
2025-01-02,15,M07,P01,L01,174,182,23,2
2025-01-02,15,M08,P02,L04,141,111,6,3
2025-01-02,15,M09,P01,L05,135,82,8,7
2025-01-02,15,M10,P03,L01,169,120,6,3
2025-01-02,16,M01,P01,L05,159,81,27,4
2025-01-02,16,M02,P03,L04,131,100,7,5
2025-01-02,16,M03,P03,L02,143,137,2,5
2025-01-02,16,M04,P04,L02,101,181,16,2
2025-01-02,16,M05,P04,L02,107,101,11,9
2025-01-02,16,M06,P05,L04,176,172,14,8
2025-01-02,16,M07,P01,L02,154,95,11,0
2025-01-02,16,M08,P04,L04,102,95,29,6
2025-01-02,16,M09,P03,L04,104,163,7,7
2025-01-02,16,M10,P01,L04,129,100,19,5
2025-01-02,17,M01,P01,L02,115,155,5,3
2025-01-02,17,M02,P05,L02,113,115,0,6
2025-01-02,17,M03,P05,L02,165,184,20,1
2025-01-02,17,M04,P01,L03,172,144,10,2
2025-01-02,17,M05,P02,L04,167,161,22,5
2025-01-02,17,M06,P03,L03,114,165,27,4
2025-01-02,17,M07,P02,L04,111,190,16,9
2025-01-02,17,M08,P05,L02,134,109,23,9
2025-01-02,17,M09,P04,L03,113,152,14,4
2025-01-02,17,M10,P02,L03,190,81,2,1
2025-01-02,18,M01,P02,L04,109,104,1,8
2025-01-02,18,M02,P01,L05,135,174,13,0
2025-01-02,18,M03,P04,L05,102,178,8,5
2025-01-02,18,M04,P05,L01,197,87,20,1
2025-01-02,18,M05,P01,L04,178,147,12,3
2025-01-02,18,M06,P05,L02,159,142,5,1
2025-01-02,18,M07,P03,L04,130,194,4,2
2025-01-02,18,M08,P02,L02,188,81,29,1
2025-01-02,18,M09,P01,L05,186,162,8,2
2025-01-02,18,M10,P01,L05,127,141,13,2
2025-01-02,19,M01,P01,L04,103,83,6,7
2025-01-02,19,M02,P05,L01,151,172,19,3
2025-01-02,19,M03,P02,L04,162,180,19,2
2025-01-02,19,M04,P04,L03,185,93,6,4
2025-01-02,19,M05,P05,L05,154,81,29,4
2025-01-02,19,M06,P02,L05,186,137,23,6
2025-01-02,19,M07,P01,L05,112,164,25,1
2025-01-02,19,M08,P05,L05,152,161,4,3
2025-01-02,19,M09,P03,L01,159,90,20,3
2025-01-02,19,M10,P02,L05,167,113,19,1
2025-01-02,20,M01,P01,L03,192,131,28,5
2025-01-02,20,M02,P05,L02,141,92,16,8
2025-01-02,20,M03,P01,L01,140,80,1,0
2025-01-02,20,M04,P02,L02,157,139,7,4
2025-01-02,20,M05,P03,L04,133,87,26,5
2025-01-02,20,M06,P01,L01,159,166,23,2
2025-01-02,20,M07,P04,L05,164,166,4,7
2025-01-02,20,M08,P01,L05,186,122,0,2
2025-01-02,20,M09,P01,L03,104,99,20,7
2025-01-02,20,M10,P04,L02,110,131,14,2
2025-01-02,21,M01,P04,L03,150,186,25,4
2025-01-02,21,M02,P02,L05,137,190,15,0
2025-01-02,21,M03,P01,L01,165,158,17,2
2025-01-02,21,M04,P04,L01,167,157,8,8
2025-01-02,21,M05,P02,L01,161,193,9,4
2025-01-02,21,M06,P04,L04,190,183,1,5
2025-01-02,21,M07,P05,L05,131,174,15,1
2025-01-02,21,M08,P02,L03,114,96,7,1
2025-01-02,21,M09,P01,L01,158,157,27,9
2025-01-02,21,M10,P02,L01,121,195,29,3
2025-01-02,22,M01,P04,L05,131,130,13,0
2025-01-02,22,M02,P03,L05,131,173,22,6
2025-01-02,22,M03,P04,L01,146,97,20,4
2025-01-02,22,M04,P03,L04,185,101,10,8
2025-01-02,22,M05,P05,L04,112,161,1,4
2025-01-02,22,M06,P03,L04,149,174,14,2
2025-01-02,22,M07,P05,L04,121,122,4,0
2025-01-02,22,M08,P03,L03,122,108,29,6
2025-01-02,22,M09,P01,L04,107,185,25,7
2025-01-02,22,M10,P04,L01,104,82,0,3
2025-01-02,23,M01,P02,L03,197,186,24,9
2025-01-02,23,M02,P03,L05,126,145,8,8
2025-01-02,23,M03,P04,L04,185,185,25,9
2025-01-02,23,M04,P01,L04,177,93,24,1
2025-01-02,23,M05,P01,L05,119,154,15,2
2025-01-02,23,M06,P05,L03,157,83,14,3
2025-01-02,23,M07,P02,L04,123,197,2,9
2025-01-02,23,M08,P05,L05,153,183,6,4
2025-01-02,23,M09,P04,L02,159,136,12,3
2025-01-02,23,M10,P04,L01,192,93,2,7
2025-01-02,24,M01,P02,L05,154,195,3,7
2025-01-02,24,M02,P02,L02,118,110,27,2
2025-01-02,24,M03,P03,L01,121,103,12,9
2025-01-02,24,M04,P04,L05,163,98,15,3
2025-01-02,24,M05,P01,L01,117,142,19,0
2025-01-02,24,M06,P04,L03,146,154,24,5
2025-01-02,24,M07,P01,L05,116,149,3,3
2025-01-02,24,M08,P04,L03,174,182,8,9
2025-01-02,24,M09,P01,L05,160,89,17,2
2025-01-02,24,M10,P03,L05,193,197,12,5
2025-01-03,1,M01,P03,L01,150,196,18,9
2025-01-03,1,M02,P02,L03,168,172,4,3
2025-01-03,1,M03,P05,L01,173,143,4,3
2025-01-03,1,M04,P04,L02,138,193,2,0
2025-01-03,1,M05,P04,L01,169,120,21,8
2025-01-03,1,M06,P01,L04,135,164,29,7
2025-01-03,1,M07,P02,L04,129,165,27,6
2025-01-03,1,M08,P04,L03,113,199,9,5
2025-01-03,1,M09,P01,L02,176,149,11,8
2025-01-03,1,M10,P04,L05,155,186,19,1
2025-01-03,2,M01,P03,L02,156,100,3,1
2025-01-03,2,M02,P03,L01,106,149,14,1
2025-01-03,2,M03,P04,L03,187,94,15,6
2025-01-03,2,M04,P02,L05,125,187,23,8
2025-01-03,2,M05,P02,L05,120,161,4,2
2025-01-03,2,M06,P05,L02,187,128,18,2
2025-01-03,2,M07,P05,L01,111,140,8,0
2025-01-03,2,M08,P05,L02,167,185,24,6
2025-01-03,2,M09,P01,L01,123,140,28,1
2025-01-03,2,M10,P02,L04,142,120,6,5
2025-01-03,3,M01,P01,L01,197,149,13,5
2025-01-03,3,M02,P01,L02,173,164,4,1
2025-01-03,3,M03,P02,L01,173,177,15,2
2025-01-03,3,M04,P04,L05,187,190,7,5
2025-01-03,3,M05,P03,L04,109,178,18,0
2025-01-03,3,M06,P04,L05,125,147,13,3
2025-01-03,3,M07,P04,L05,191,93,26,8
2025-01-03,3,M08,P04,L02,125,192,1,8
2025-01-03,3,M09,P04,L03,196,121,19,2
2025-01-03,3,M10,P01,L04,149,122,18,4
2025-01-03,4,M01,P03,L03,111,153,7,7
2025-01-03,4,M02,P04,L04,140,115,4,4
2025-01-03,4,M03,P02,L01,141,139,19,5
2025-01-03,4,M04,P02,L04,106,159,2,2
2025-01-03,4,M05,P02,L03,139,181,0,0
2025-01-03,4,M06,P04,L05,147,186,4,3
2025-01-03,4,M07,P01,L03,111,90,13,6
2025-01-03,4,M08,P05,L01,120,109,12,1
2025-01-03,4,M09,P04,L04,194,138,22,4
2025-01-03,4,M10,P03,L01,196,147,24,3
2025-01-03,5,M01,P02,L02,104,178,28,8
2025-01-03,5,M02,P02,L04,105,162,27,8
2025-01-03,5,M03,P02,L03,146,187,11,8
2025-01-03,5,M04,P02,L05,185,82,11,9
2025-01-03,5,M05,P04,L05,189,141,0,4
2025-01-03,5,M06,P04,L03,133,120,18,1
2025-01-03,5,M07,P03,L02,156,102,15,5
2025-01-03,5,M08,P05,L01,110,173,14,2
2025-01-03,5,M09,P04,L01,115,113,1,2
2025-01-03,5,M10,P01,L04,119,80,7,6
2025-01-03,6,M01,P04,L03,157,104,14,5
2025-01-03,6,M02,P03,L05,156,196,20,3
2025-01-03,6,M03,P04,L04,116,118,8,2
2025-01-03,6,M04,P05,L04,178,161,18,0
